scraped_at_utc,source_section,team_1,team_2,score_1,score_2,event_name,event_stage,match_datetime_text,match_status,relative_url,absolute_url
2026-03-31T02:59:25.494732+00:00,live,Akave Esports GC,FUSION X,1.0,0.0,Game Changers 2026: LATAM North Stage 1,Playoffs: Upper Semifinals,6:30 PM PDT,live,620384/akave-esports-gc-vs-fusion-x-game-changers-2026-latam-north-stage-1-ubsf,https://www.vlr.gg/620384/akave-esports-gc-vs-fusion-x-game-changers-2026-latam-north-stage-1-ubsf
2026-03-31T02:59:25.494732+00:00,upcoming,Titan Esports Club,All Gamers,,,VCT 2026: China Stage 1,Group Stage: Week 1,2:00 AM PDT,upcoming,642914/titan-esports-club-vs-all-gamers-vct-2026-china-stage-1-w1,https://www.vlr.gg/642914/titan-esports-club-vs-all-gamers-vct-2026-china-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,xCrew,DOT EXE,,,Challengers 2026: South Asia Split 1,Group Stage: Week 2,2:30 AM PDT,upcoming,642901/xcrew-vs-dot-exe-challengers-2026-south-asia-split-1-w2,https://www.vlr.gg/642901/xcrew-vs-dot-exe-challengers-2026-south-asia-split-1-w2
2026-03-31T02:59:25.494732+00:00,upcoming,Nova Esports,EDward Gaming,,,VCT 2026: China Stage 1,Group Stage: Week 1,4:00 AM PDT,upcoming,642915/nova-esports-vs-edward-gaming-vct-2026-china-stage-1-w1,https://www.vlr.gg/642915/nova-esports-vs-edward-gaming-vct-2026-china-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,The Rad Syndicate,Revenant XSpark,,,Challengers 2026: South Asia Split 1,Group Stage: Week 2,5:30 AM PDT,upcoming,642902/the-rad-syndicate-vs-revenant-xspark-challengers-2026-south-asia-split-1-w2,https://www.vlr.gg/642902/the-rad-syndicate-vs-revenant-xspark-challengers-2026-south-asia-split-1-w2
2026-03-31T02:59:25.494732+00:00,upcoming,Evil Geniuses Academy,M80,,,Challengers 2026: North America ACE Stage 2,Swiss Stage: Round 3 (1-1),1:00 PM PDT,upcoming,647259/evil-geniuses-academy-vs-m80-challengers-2026-north-america-ace-stage-2-r3-1-1,https://www.vlr.gg/647259/evil-geniuses-academy-vs-m80-challengers-2026-north-america-ace-stage-2-r3-1-1
2026-03-31T02:59:25.494732+00:00,upcoming,Azure Dragon Gaming,Shopify Rebellion Black,,,Challengers 2026: North America ACE Stage 2,Swiss Stage: Round 3 (2-0),1:00 PM PDT,upcoming,647260/azure-dragon-gaming-vs-shopify-rebellion-black-challengers-2026-north-america-ace-stage-2-r3-2,https://www.vlr.gg/647260/azure-dragon-gaming-vs-shopify-rebellion-black-challengers-2026-north-america-ace-stage-2-r3-2
2026-03-31T02:59:25.494732+00:00,upcoming,Polar Squad Esports GC,Olimpo Gold,,,Game Changers 2026: LATAM South Stage 1,Playoffs: Upper Semifinals,3:00 PM PDT,upcoming,620361/polar-squad-esports-gc-vs-olimpo-gold-game-changers-2026-latam-south-stage-1-ubsf,https://www.vlr.gg/620361/polar-squad-esports-gc-vs-olimpo-gold-game-changers-2026-latam-south-stage-1-ubsf
2026-03-31T02:59:25.494732+00:00,upcoming,YFP,NRG Academy,,,Challengers 2026: North America ACE Stage 2,Swiss Stage: Round 3 (2-0),4:00 PM PDT,upcoming,647261/yfp-vs-nrg-academy-challengers-2026-north-america-ace-stage-2-r3-2-0,https://www.vlr.gg/647261/yfp-vs-nrg-academy-challengers-2026-north-america-ace-stage-2-r3-2-0
2026-03-31T02:59:25.494732+00:00,upcoming,Nightblood Gaming,Alliance Guardians,,,Challengers 2026: North America ACE Stage 2,Swiss Stage: Round 3 (1-1),4:00 PM PDT,upcoming,647262/nightblood-gaming-vs-alliance-guardians-challengers-2026-north-america-ace-stage-2-r3-1-1,https://www.vlr.gg/647262/nightblood-gaming-vs-alliance-guardians-challengers-2026-north-america-ace-stage-2-r3-1-1
2026-03-31T02:59:25.494732+00:00,upcoming,MYVRA GC,No Sweat Blossom,,,Game Changers 2026: LATAM North Stage 1,Playoffs: Upper Semifinals,6:00 PM PDT,upcoming,620385/myvra-gc-vs-no-sweat-blossom-game-changers-2026-latam-north-stage-1-ubsf,https://www.vlr.gg/620385/myvra-gc-vs-no-sweat-blossom-game-changers-2026-latam-north-stage-1-ubsf
2026-03-31T02:59:25.494732+00:00,upcoming,REIGNITE FOXX,AGELITE,,,Challengers 2026: Japan Split 1,Phase 2: Upper Quarterfinals,12:00 AM PDT,upcoming,648098/reignite-foxx-vs-agelite-challengers-2026-japan-split-1-ubqf,https://www.vlr.gg/648098/reignite-foxx-vs-agelite-challengers-2026-japan-split-1-ubqf
2026-03-31T02:59:25.494732+00:00,upcoming,ONSIDE GAMING,DRX Academy,,,Challengers 2026: Korea WDG Split 1,Playoffs: Upper Round 1,1:00 AM PDT,upcoming,647396/onside-gaming-vs-drx-academy-challengers-2026-korea-wdg-split-1-ur1,https://www.vlr.gg/647396/onside-gaming-vs-drx-academy-challengers-2026-korea-wdg-split-1-ur1
2026-03-31T02:59:25.494732+00:00,upcoming,JDG Esports,FunPlus Phoenix,,,VCT 2026: China Stage 1,Group Stage: Week 1,2:00 AM PDT,upcoming,642916/jdg-esports-vs-funplus-phoenix-vct-2026-china-stage-1-w1,https://www.vlr.gg/642916/jdg-esports-vs-funplus-phoenix-vct-2026-china-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,S8UL Esports,Asterisk,,,Challengers 2026: South Asia Split 1,Group Stage: Week 2,2:30 AM PDT,upcoming,642903/s8ul-esports-vs-asterisk-challengers-2026-south-asia-split-1-w2,https://www.vlr.gg/642903/s8ul-esports-vs-asterisk-challengers-2026-south-asia-split-1-w2
2026-03-31T02:59:25.494732+00:00,upcoming,Gen.G Global Academy,ARETE,,,Challengers 2026: Korea WDG Split 1,Playoffs: Upper Round 1,3:00 AM PDT,upcoming,647397/gen-g-global-academy-vs-arete-challengers-2026-korea-wdg-split-1-ur1,https://www.vlr.gg/647397/gen-g-global-academy-vs-arete-challengers-2026-korea-wdg-split-1-ur1
2026-03-31T02:59:25.494732+00:00,upcoming,Insomnia,REJECT,,,Challengers 2026: Japan Split 1,Phase 2: Upper Quarterfinals,3:00 AM PDT,upcoming,648099/insomnia-vs-reject-challengers-2026-japan-split-1-ubqf,https://www.vlr.gg/648099/insomnia-vs-reject-challengers-2026-japan-split-1-ubqf
2026-03-31T02:59:25.494732+00:00,upcoming,Dragon Ranger Gaming,Xi Lai Gaming,,,VCT 2026: China Stage 1,Group Stage: Week 1,4:00 AM PDT,upcoming,642917/dragon-ranger-gaming-vs-xi-lai-gaming-vct-2026-china-stage-1-w1,https://www.vlr.gg/642917/dragon-ranger-gaming-vs-xi-lai-gaming-vct-2026-china-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,FNATIC,Eternal Fire,,,VCT 2026: EMEA Stage 1,Group Stage: Week 1,8:00 AM PDT,upcoming,644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,Team Liquid,Karmine Corp,,,VCT 2026: EMEA Stage 1,Group Stage: Week 1,11:00 AM PDT,upcoming,644710/team-liquid-vs-karmine-corp-vct-2026-emea-stage-1-w1,https://www.vlr.gg/644710/team-liquid-vs-karmine-corp-vct-2026-emea-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,Wolves Esports,Trace Esports,,,VCT 2026: China Stage 1,Group Stage: Week 1,2:00 AM PDT,upcoming,642918/wolves-esports-vs-trace-esports-vct-2026-china-stage-1-w1,https://www.vlr.gg/642918/wolves-esports-vs-trace-esports-vct-2026-china-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,Bilibili Gaming,TYLOO,,,VCT 2026: China Stage 1,Group Stage: Week 1,4:00 AM PDT,upcoming,642919/bilibili-gaming-vs-tyloo-vct-2026-china-stage-1-w1,https://www.vlr.gg/642919/bilibili-gaming-vs-tyloo-vct-2026-china-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,Team Vitality,GIANTX,,,VCT 2026: EMEA Stage 1,Group Stage: Week 1,8:00 AM PDT,upcoming,644711/team-vitality-vs-giantx-vct-2026-emea-stage-1-w1,https://www.vlr.gg/644711/team-vitality-vs-giantx-vct-2026-emea-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,Gentle Mates,FUT Esports,,,VCT 2026: EMEA Stage 1,Group Stage: Week 1,11:00 AM PDT,upcoming,644712/gentle-mates-vs-fut-esports-vct-2026-emea-stage-1-w1,https://www.vlr.gg/644712/gentle-mates-vs-fut-esports-vct-2026-emea-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,Dragon Ranger Gaming,Nova Esports,,,VCT 2026: China Stage 1,Group Stage: Week 1,2:00 AM PDT,upcoming,642920/dragon-ranger-gaming-vs-nova-esports-vct-2026-china-stage-1-w1,https://www.vlr.gg/642920/dragon-ranger-gaming-vs-nova-esports-vct-2026-china-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,Gen.G,Global Esports,,,VCT 2026: Pacific Stage 1,Group Stage: Week 1,2:00 AM PDT,upcoming,644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,FunPlus Phoenix,All Gamers,,,VCT 2026: China Stage 1,Group Stage: Week 1,4:00 AM PDT,upcoming,642921/funplus-phoenix-vs-all-gamers-vct-2026-china-stage-1-w1,https://www.vlr.gg/642921/funplus-phoenix-vs-all-gamers-vct-2026-china-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,T1,VARREL,,,VCT 2026: Pacific Stage 1,Group Stage: Week 1,4:00 AM PDT,upcoming,644653/t1-vs-varrel-vct-2026-pacific-stage-1-w1,https://www.vlr.gg/644653/t1-vs-varrel-vct-2026-pacific-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,Team Heretics,Natus Vincere,,,VCT 2026: EMEA Stage 1,Group Stage: Week 1,8:00 AM PDT,upcoming,644713/team-heretics-vs-natus-vincere-vct-2026-emea-stage-1-w1,https://www.vlr.gg/644713/team-heretics-vs-natus-vincere-vct-2026-emea-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,BBL Esports,PCIFIC Esports,,,VCT 2026: EMEA Stage 1,Group Stage: Week 1,11:00 AM PDT,upcoming,644714/bbl-esports-vs-pcific-esports-vct-2026-emea-stage-1-w1,https://www.vlr.gg/644714/bbl-esports-vs-pcific-esports-vct-2026-emea-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,TYLOO,Titan Esports Club,,,VCT 2026: China Stage 1,Group Stage: Week 1,2:00 AM PDT,upcoming,642922/tyloo-vs-titan-esports-club-vct-2026-china-stage-1-w1,https://www.vlr.gg/642922/tyloo-vs-titan-esports-club-vct-2026-china-stage-1-w1
2026-03-31T02:59:25.494732+00:00,upcoming,Nongshim RedForce,Paper Rex,,,VCT 2026: Pacific Stage 1,Group Stage: Week 1,2:00 AM PDT,upcoming,644654/nongshim-redforce-vs-paper-rex-vct-2026-pacific-stage-1-w1,https://www.vlr.gg/644654/nongshim-redforce-vs-paper-rex-vct-2026-pacific-stage-1-w1
2026-03-31T02:59:25.494732+00:00,completed,MIBR GC,PÃO COM RATO,2.0,0.0,Game Changers 2026: Brazil Stage 1,Swiss Phase: Round 3 (1-1),4:00 PM PDT,completed,628332/mibr-gc-vs-p-o-com-rato-game-changers-2026-brazil-stage-1-r3-1-1,https://www.vlr.gg/628332/mibr-gc-vs-p-o-com-rato-game-changers-2026-brazil-stage-1-r3-1-1
2026-03-31T02:59:25.494732+00:00,completed,KRÜ BLAZE,Looking For Laburo,2.0,1.0,Game Changers 2026: LATAM South Stage 1,Playoffs: Upper Semifinals,3:00 PM PDT,completed,620360/kr-blaze-vs-looking-for-laburo-game-changers-2026-latam-south-stage-1-ubsf,https://www.vlr.gg/620360/kr-blaze-vs-looking-for-laburo-game-changers-2026-latam-south-stage-1-ubsf
2026-03-31T02:59:25.494732+00:00,completed,QoR,Pigeons,2.0,1.0,Challengers 2026: North America ACE Stage 2,Swiss Stage: Round 3 (1-1),3:35 PM PDT,completed,647257/qor-vs-pigeons-challengers-2026-north-america-ace-stage-2-r3-1-1,https://www.vlr.gg/647257/qor-vs-pigeons-challengers-2026-north-america-ace-stage-2-r3-1-1
2026-03-31T02:59:25.494732+00:00,completed,oi posso fala,Forged to Shine GC,2.0,0.0,Game Changers 2026: Brazil Stage 1,Swiss Phase: Round 3 (1-1),4:00 PM PDT,completed,628331/oi-posso-fala-vs-forged-to-shine-gc-game-changers-2026-brazil-stage-1-r3-1-1,https://www.vlr.gg/628331/oi-posso-fala-vs-forged-to-shine-gc-game-changers-2026-brazil-stage-1-r3-1-1
2026-03-31T02:59:25.494732+00:00,completed,FlyQuest,Division One,2.0,0.0,Challengers 2026: North America ACE Stage 2,Swiss Stage: Round 3 (1-1),3:05 PM PDT,completed,647258/flyquest-vs-division-one-challengers-2026-north-america-ace-stage-2-r3-1-1,https://www.vlr.gg/647258/flyquest-vs-division-one-challengers-2026-north-america-ace-stage-2-r3-1-1
2026-03-31T02:59:25.494732+00:00,completed,Team Liquid Brazil,Gênias do Bem,2.0,1.0,Game Changers 2026: Brazil Stage 1,Swiss Phase: Round 3 (2-0),1:00 PM PDT,completed,628329/team-liquid-brazil-vs-g-nias-do-bem-game-changers-2026-brazil-stage-1-r3-2-0,https://www.vlr.gg/628329/team-liquid-brazil-vs-g-nias-do-bem-game-changers-2026-brazil-stage-1-r3-2-0
