tournament,match_count
VCL JP: Split 1,13
EWC 2025,10
VCT 2023: Pacific,10
VCT 25: PAC Stage 1,9
VCT 24: PAC Stage 1,9
Masters Santiago 2026,8
VCT 25: PAC Stage 2,8
VCT 24: PAC Stage 2,8
VCT JP S3: Challengers 2,8
VCT 26: PAC Kickoff,7
Radiant Intl. Invitational,7
Masters Toronto 2025,7
Radiant Asia Invitational,7
Champions 2025,6
VCT 24: Masters Madrid,6
VCT 2023: Champions,6
AFTV Valorant League,5
VCT JP S2: Challengers W2,5
VCT JP S3: Challengers 1,5
Spotlight Series 24: PAC,4
UTAGE Season 3,4
VCT 25: PAC Kickoff,3
VCT 2024: Champions,3
VCT 24: Masters Shanghai,3
VCT 24: PAC Kickoff,3
VCT JP S2: Challengers W1,3
VCT JP S1: Challengers W1,3
VCT JP S3: Challengers Playoffs,3
HERO ESPORTS ACL 25,2
VAL ID CONNEXT '23,2
VCT JP S2: Challengers Playoffs,2
SEM 2024,1
ONE Pro Invit. Online '22,1
VCT JP S1: Challengers W2,1
